Company Name
123Venture
3D Energies
3P Energieplan GMBH
4Energia SRL
50Hertz Offshore GMBH
A.S.R. Real Estate
Aalto Power
Aapua Vind AB
Aasted Vindkraft IS
AB Hallebacks Gard
Abei Energy
ABN AMRO Energy Transition Fund
ABN AMRO Sustainable Impact Fund
ABO Wind
ABO Wind Espana SA
ABO Wind Hellas SA
ABO Wind OY
Access Capital Partners
Acciona Energia SAU
Acciona SA
ACEA Group
Achema Group
Aciloe Energias Alternativas
ACOFI
ACS Group
Adelanta Group
Aderes Wind SA
Adlergrund 500 GMBH
Aelmans Adviesgroep BV
Aerodis
Aerotechnik Wind SA
AES Corp
AG Capital Single Member PVT CO
Agrivind AB
AgRo-Energieagentur GMBH
AGSM Group
Ahaus-Heek-Legden eG
Aioliki Beleheri SA
AIP Management P/S
Air Energy
Airenergy PVT CO
Akershus Energi
Akuo Energy
AkzoNobel Speciality Chemicals
Alandsbanken
Alas Capital SA
Aldesa Group
Alerion Clean Power
Alerion Energie Rinnovabili
Alfanar Group
ALH Group
Allianz Capital Partners
Allianz Renewable Energy Fund (AREF) II
Allianz SE
Alpha Grissin SA
Alpiq
ALTEO Group
Alterric GMBH
Altus Group
AM Energie Rinnovabili
Amazon
An Avel Braz
Anaptexe Epeirou Wind Single Member PVT CO
Anaptyxiake Wind and CO Phthiotida Single Member SA
Androu Tsirovlidi Wind SA
Anemodomike Energy SA
Anemodrase Single Member SA
Aneo
AoR Energieprojekte Monsheim
Aphrodite Energy LLC
AquaVent
Aquila Capital
Aquila Capital Concepts GMBH
Ardian
Aream & CO
Aren Electric Power SPA
Arena Energy
Argos Aiolos Single Member SA
Arinomario LTD
Arise AB
Arise Windpower AB
Arkolia Energies
Arpinge Energy Efficiency & Renewables SRL
Aryitheas Wind Single Member PVT CO
Arzteversorgung Westfalen-Lippe
ASJA Ambiente Italia
ASKO Fornybar AS
Aspiravi
Aspiravi Offshore
Aspre Petra SA
ASR Wind SL
Asselner Windkraft GMBH & CO KG
Astakos
Athena Investments
Atsinaujinan_ios Energetikos Investicijos
Auchan Retail France
Audax Renovables
AURA Energi
Aurora Vindkraft AS
Austri Kjolberget DA
Austri Kvitvola DA
Ausumgaard IS
AVD Projektentwicklung
Aventron AG
Aviva Investors
AXA IM Alts
AXA Private Equity
Axpo Holding AG
Azienda Elettrica Ticinese (AET)
Azora Capital
B Capital Partners AG
B9
Bakkegaarden Wind Energy Greece LLC
Baltic Blue Energy OU
Baltic Wind Park
Banco Sabadell
Banks Renewables
Barten
BASF SE
Bauunion Wismar GMBH
BayWa R.E. AG
BBE Windpark GMBH & CO KG
BCTN
BEC Energie Consult GMBH
BEG Wolfhagen
Behy Renewable Energy LTD
BelEnergia SA
Beleolico SRL
Bertel Jensen CO
Best Energy
Bindesbol Vindkraft IS
Bjerkreim Vind AS
BKW
BKW AG
Blaberg Wind Power AS
Blackrock Inc
BlackRock Investment Management
BlackRock Real Assets
Blue Elephant Energy AG (BEE)
Blue Energy
Blue H Technologies BV
Blue Investment Partners
Blue Pearl III GMBH
Bluefloat Energy
Bluermound & CO LTD
BMR Windenergie Linnich GMBH
BNB Kompani
Bogaris Energy
Bois Elie SASAU
Bondcom Green Energy
Boralex
Bord Gais Energy Ltd
Bord na Mona PLC
Boreads Wind Single Member PVT CO
BOREAS Energie GmbH
Boreas Eolica
Boreas Renewable Energy
Bourtzi Single Member PVT CO
BP PLC
BPCE Energeco
Brabrand Elselskab
Braila Winds SRL
Breeze Four Energy GMBH & CO KG
Breeze Two Energy GMBH & CO KG
Brial Group
Brookfield Renewable Partners LP
Bundgard Hede IS
Burcote Wind
Burgerwind Berg GMBH & CO KG
Burgerwind COOP
Burgerwind Hauenhorst GMBH & CO KG
Burgerwind Mattheshohe UG (haftungsbeschrankt) & CO KG
Burgerwind Neuenkirchen GMBH & CO KG
Burgerwind Schoppingen-Stronfeld GMBH & CO KG
Burgerwind Ulrichstein
Burgerwind Wettringen
Burgerwindpark Diedersbull GMBH & CO KG
Burgerwindpark Fehmarn
Burgerwindpark Georgsfeld GMBH & CO KG
Burgerwindpark Hemme GMBH & CO KG
Burgerwindpark Hunfeldener Wald GMBH & CO KG
Burgerwindpark Jerrishoe GMBH & CO KG
Burgerwindpark Kohlenbek
Burgerwindpark Konigsmoor GMBH & CO KG
Burgerwindpark Lengerich
Burgerwindpark Lowenstedt GMBH & CO KG
Burgerwindpark Weiberg
Burgerwindpark Wesselburener Deichhausen GMBH & CO KG
BVT Group
C-Power
C&C Energy
Cabildo Insular
Caisse des Depots et Consignations
Calyce
Cannon Power Group
Capital Energy
CapMan Infra
CE Energy Holding AG
CEE Equity Partners LTD
CEE Group
CEE-Wind-Beteiligungs GMBH & CO KG
CEF 2 Wind Energy
CEF 3 Wind Energy
CEF 6 Wind Energy
Centrica PLC
Cerebus Capital Management LP
Cernavoda Power SRL
CEZ Group
CGN Europe Energy (CGN EE)
Chetverty vetropark FRV
Chevron Corp
China General Nuclear Power Group (CGN)
China Resources (Holdings) CO LTD
China Three Gorges Corp
Chorterou Single Member SA
Chorus Clean Energy AG
Cierco
Citizens
City Electric Single Member Energy SA
CJR Renewables
Cloudberry Clean Energy ASA
CNI Energy SA
CNR
Coillte
Columbia Threadneedle
Comiolica SL
Commerz Real AG
Communinity Owners - Vindmollelauget Orumgaard I/S
Community Owned
Community Owned - Bedbrug
Community Owned - Leudal Energy
Community Owned - Windpark Zeewolde BV
Community Owner - City of Bedburg
Community Owners - Vester Barde Vinkraft I/S
Community Owners - Videbaek Mose Vindkraft I/S
Community Owners - Vintevd Vindkraft I/S
Community Owners - Volder Mark Vindkraft I/S
Community Owners - Waddenwind
Community Ownership
Community Windpower
Compagnia Finanziaria De Benedetti SPA (Cofide)
Compagnie Nationale du Rhone (CNR)
Compania Espanola de Petroleos SA
Comsa Medio Ambiente SA
Connected Infrastructure Capital (CIC)
Conrad Energy
Continental Wind Partners
ContourGlobal Erneuerbare Energie Europa GMBH
ContourGlobal PLC
ContourGlobal Wind Holding GMBH
Cooperatie Deltawind
Cooperatie Zeeuwind
Copelouzos Group
Copenhagen Energy A/S
Copenhagen Infrastructure Partners
Corporacion Eolica de Zaragoza
CPC Finland Oy
CPC Finland OY
CPC Germania GmbH & Co KG
Credit Agricole Assurances
Credit Suisse Energy Infrastructure Partners (CSEIP)
Crescent Capital Group LP
CTG Group
Cube Infrastructure Managers
Cubico Sustainable Investments
CVA SPA
Dala Vind AB
Dalane Vind AS
Dalekovod DD
deanGruppe
Dei Energy
Delta Energy
Delta NV
Delta Technical Group
Delta Wind
DEME Group
Denker & Wulf AG
Desarrollos Eolicos Cuenca de Barbera SL
Desjardins Group Pension Plan
Desol Energy
Deutsche Wind SA
DeWind CO
Dexia Group
DGE Wind GMBH
DH Energie GMBH
Diamond Generating Corp
Diamond Generating Europe
DIF Capital Partners
Difko
Dingleskogen Vind AB
DISA Group
DIV Wind
Divres Wind Single Member PVT CO
DMX Wind LLC
Dobreve Energia SA
DP Energy
DSM
DTEK Orlovskaya WEP LLC
DTEK Renewables
DunoAir
Dutch Investment Fund
E-Connection
E-Connection Project BV
E-Werk Mittelbaden AG & CO KG
E-Wind
E.DIS AG
E.ON Climate & Renewables
E.ON SE
E.ON Sverige AB
E.ON UK Renewables LTD
E&S Group
E2I Energie Speciali SRL
Earth Energy SA
East Renewable Energy AB
Eco Optima LTD
Eco Power Wind SRL
Ecoener
ecoenerg Windkraft GMBH & CO KG
EcoEnergia
EcoJoule Energy
EcoPower
Ecosos Canarias SL
Ecosource Energy
Ecotecnica
Ecowind Energy
EDF Energie Nouvelles
EDF Luminus
EDF Renewables
EDF Renewables Greece
EDF Renewables Italia
Edison SpA
EDP Renewables
EDP Renovables Espana
EDP Renovaveis
EECH Group AG
EEF SAS
Eesti Energia AS
EETEK Hungary Energy Efficiency Technology RT
Efacec Group
Effo
EFI Wind GMBH
Egnatia Wind Energy SA
Eidsiva Energi
EIG Global Energy Partners
EKF Denmark
EKO
EKZ Renewables AG
Elana Holding
Elawan Energy SL
Elecdey SL
Electrawinds Offshore
Electric Power Development CO LTD (J-POWER)
Electric Supply Board (ESB)
ElectriCom LLC
Elektrani na Severna Makedonija (ESM)
Elektrizitatswerk Der Stadt Zurich (EWZ)
Elektro Primorska
Elektroprivreda Bosne i Hercegovine (EPBiH)
Elektroprivreda Hrvatske Zajednice Herceg Bosne (Elektroprivreda HZHB)
Element Power
Elementum Energy LTD
Elfelagid SEV
Elicio
Elico
Elkaer Vind KS
Ellaktor SA
Elyseum Investment
Empresa de Electricidade da Madeira SA
EMV Energy Investments SA
En Avel Braz
Enbridge Inc
EnBW
EnBW Energie Baden-Wurttemberg AG
Encavis AG
Endesa SA
ENEA
Eneco
Eneco NV
Eneco Verda BV
Enefit Green
Enel Green Power Espana SL
Enel Green Power Greece SA
Enel Green Power Romania SRL
Enel Green Power SpA
Enel Green Power SRL (fost ELCOMEX EOL SA)
Enel Green Power SRL (fost Targu_or Wind Farm SA)
Enel Russia
Enel Slovenske Elektrarne
Enel SPA
ENEOP
ENEOP2
Enerbigorne - Projectos de Energia SA
EnerCap Capital Partners
Enercap Power Fund
enercity AG
Enerco
Enerco Energy
Enercon
Enercoop
Enercoplan Investments SA
Enerfarm SA
Enerfin Resources CO
Enerfin Sociedad de Energia SL
Enerfrance
Energa Group
Energa Wytwarzanie SA
Energaas Renovables del Bierzo (ERBI)
Energetyka Polska
Energi Danmark Vind AS
Energi E2 AS
Energi Fyn
Energi Fyn Produktion
Energia Eolica Gregal SL
Energia Group
Energia Renewables
Energia Verde - Producao de Energia LDA
Energia Verde Ventuno
Energias Renovables de Dione SL
Energias Renovables de Lisitea SL
Energias Renovables del Abra SL
Energias Renovables Mediterraneas SA
Energicenter Nord APS
Energie Burgenland
Energie Burgenland Windkraft GMBH
Energie Partagee
Energie Steiermark AG
Energie Versorgung Niederosterreich AG
Energieanlagen FB
Energiegenossenschaft Main Kinzigtal eG
Energiekontor AG
Energiekontor UK
Energiepark Bruck/Leitha GMBH
Energiequelle GmbH
Energieteam
Energieversorgung Offenbach AG
Energiewerkstatt GmbH
Energinet
Energix Renewable Energies
Energo Proiect SRL
Energoconsult LTD
Energos
Energreen Investment Europe SA
Energreen SA
Energy CORP Hungary KFT
Energy Farming PVT LTD
Energy Infrastructure Partners (EIP)
Energy Kentro Renewable Energy Sources of the Cyclades SA
Energy Trading SA
Enern
Enerplus Producao de Energia Electrica LDA
Enertrag LTD
EnerVest AG
Engasa Eolica SA
Engie
Engie (formerly GDF Suez)
Engie Polska (formerly GDF Suez Polska)
Engie Rinnovabili SPA
ENGIE SA
Engie Zielona Energia
Eni SPA
Enlight Renewable Energy
Eno Energy
Enova International INC
Ensol Amedaiou SA
Ente Vasco De La Energia (EVE)
ENTEKA
Envia
Envitec SA
EOL PRVI DOO
Eole Generation SAS
Eole-Res SA
EOLFI
Eolfi
Eolia Renovables de Inversiones SCR SA
Eolia Renovables SA (EOLIASUR)
Eolica Alta Anoia SL
Eolica de Navarra SL
Eolica Dobrogea One SA
Eolica Dobrogea SRL
Eolica Kog_lniceanu
Eolica la Conca 2 SL
Eolica la Conca 3 SL
Eoliennes
Eolus Vind AB
Eoly Cooperatie
Eos Holding
EOS Holdings SA
EPA Wind
Epharmoyes Pyritium SA
Epuron
EPV Energia Oy
EPZ NV
Equinor ASA
Equinor ASA (formerly Statoil and StatoilHydro)
Equitix Ltd
Equitix LTD
ERBI Energia
Erelia
Eren Hellas
ERG
ERG Group
ERG SpA
ERG UK Holding LTD
Erneuerbare Energien
Erneuerbare Energien Europa e3 GmbH
ES Evrou
ES Rodopes
ESB Group
Escofi
Eskilstuna Vindkraft AB
Estudios y Proyectos Pradamap SL
Eufer
Eunice Energy Group
EuroCape New Energy
EuroCape New Energy France
European Bank for Reconstruction and Development (EBRD)
European Energy A/S
European Wind Farms Greece LLC
European Wind Investment
Eurotrust
Eurowatt Services
Eurowind Energy A/S
Eurus Energy
Eurwatt SC
Eusebio Energia SPA
Evangelische Bank eG
Evelop UK LTD
Evia Wind Energy SA
Eviny
Eviva Nalbant
EVN Group
EVN Naturkraft Erzeugungsgesellschaft MBH
Evrytanias Single Member LLC
EVV Renewable Energy
EWE
EWF Energy Hellas Wind Park Orosemo LLC
EWI
EWII
EWZ
Exilion Tuuli Ky
Exus Partners
Eyra
F2i SGR
Fabbrica Energie Rinnovabili Alternative (FERA) SRL
Falkenberg Municipality
Falkon Caital
Ferazzoli SPA
Fercom Eolica SI
Fergo Galicia Vento SI
Fersa Group
Fina Eolia
Finerge SA
Finja Energi AB
Finnmark Kraft AS
Finshus AS
Fintel Energija
Fitjar Kraftlag SA
FL Wind
Flevo Ventum BV
Flowocean AB
Fomentos de Construcciones y Contratas (FCC)
Foresight Group
Forestalia SL
Fortore Energia SPA
Fortum
Fortum Oyj
Forward Energo PAO
FP Lux Wind GMBH & CO Primus KG
Fred Olsen Renewables AB
Fri-El SPA
Fritz Dotterweich LLC
FuGen
Futura
Future Energies
Futuren
FuturEnergy Ireland
FutureWind
Gaberia International
Gaelectric Developments Ltd
Gaia INC
Galetech Energy Services
Galetech Group
Galten Elvaerk
Gazprombank
GCS
GE Power
GEG ENeR
"GEK TERNA Holdings, Real Estate, Construction SA"
Gemeinde Bad Endbach
Gemeinde Munderfing
Generacion Eolica
General Electric Co
Generg
Geo MBH
GEO Renewables
GEP
Gepem Wind Energy
GERES
German Pension Funds
Gerrsa
Gescher Burgerwind GMBH & CO KG
GetProject
Gigawatti Oy
GK Energi APS
GK Gruppen ApS
Gkoura Wind Energy SA
Glenmont Partners
Glennmont Partners
GLIL Infrastructure
Global Infrastructure Partners
Global Wind Power
Glockenstadt Energiegenossenschaft eG
GLS Beteiligung AG
GM
Goldwind
Goodyields Capital
Google
Goteborg Energi
Gothaer Leben Renewables GMBH
GP Joule
GR Wind
Green Bear Corporation
Green Energy 3000
Green Extreme AB
Green for Growth Fund (GGF)
Green Investment Group (GIG)
Green Repower
Green Star
Green Swell SL
Green Trust
Greenalia SA
Greenchoice
Greencoat Renewables
Greencoat UK Wind
Greentech CORP
Greenworx
Grenselandet AS
Greta Energy
Gron Vind
Groupe Credit Mutuel and Desjardins
Groupe VALECO
GRSRE Wind Project Single Member SA
Grupa Eko Park
Grupo Brial
Grupo de Desarrollos Energeticos Naturales SL
Grupo Ecoener SA
Grupo Enhol
Grupo Ibereolica Renovables
Grupo Iberolica Renovables
Grupo Jorge
Grupo Lamelas Viloria
Grupo Lopesan
Grupo Ortiz
Grupo SAMCA
Gudbrandsdal Energi
Guild Investments LTD
Gulf Energy Development PCL
Gunnar Lisby Kjaer
GUP RK Krymenergo
Guri_ Construction and Engineering CO INC
Guri_ Holding AS
H & N Burgerwind GMBH
H&M
H2Air
H2air
Hafslund Eco
Hainzl GMBH
Haminan Energia OY
Hana Financial Investment CO LTD
Hans Henrik Hensberg
Hans Moller Knudsen
Harboore Mollelaug I/S
Harboore Tange APS
Haugaland Kraft
Havgul Clean Energy AS
Havgul Nordic AS
Heerema Group
Heineken NV
Hejring Laug Vindpark K/S (Community Ownership)
Hel-Teknikk Inveset AS
Helen OY
Helen Oy
Helia Renovables
Hellenic Technodomiki Wind SA
HelveticWind
Hero Asia Investment LTD
Hexicon AB
Hidroelectrica
HOFOR A/S
HOFOR AS
Hojstrup Vind KS
Holmen Group
Holmen Vindkraft I / SI (Community Ownership)
Honkajoen Tuulipuisto
Hovatn Aust Vindkraft AS
Hrvatska elektroprivreda dd
HSE Invest DOO
HSE Regenerativ GMBH
HT Aiwanger GMBH & CO KG
Huadian Fuxin Energy CORP LTD
Hurrikan Diemelsee Windparkbetriebsgesellschaft MBH
Hvashoj Vindkraft IS
HVC NV
Hvidovre Vindmollelaug IS (Community Ownership)
HWE
HybridTech Renewables AS
Iberdrola Renovables Energia SA
Iberdrola SA
ICQ Holding SPA
IdEI SA
IEL Energie
IEL OIE Balkan Renewable Energy
IFE Eriksen AG
IGEwind Renewable SL
Ignitis Grupe AB
IKEA
Ilmatar Energy Oy
Ilmatar Service Oy
Impax Asset Management Group PLC
ImWind
ImWind Erneuerbare Energie GMBH
ImWind Operations GMBH
India Energy Storage Alliance (IESA)
iNeG IngenieurNetzwerk Energie
Inergia SPA
Infracapital
Ingenieurburo Henning Holst
Ingenieurburo Sing GmbH
Ingka Deutschland Windfarms GMBH
Initiatives & Energies Locales (IEL) SAS
Innergex Renewable Energy
Innogy Renewables
Innopower
Innovative Wind Concepts (IWC) Bulgaria VP 5
InnoVent Group
INPEX Corp
Instituto de Energias Renovables SL
Inter IKEA Group
Inter RAO PJSC
Inter Wind PVT CO
International Car Operators (ICO)
InterPhoton
Interstate Renewable Energy Council (IREC)
Intervent
Intrakat
Invenergy LLC
Inversiones Empresariales Vapat SL
Inversiones Financieras Isla de Tenerife SL
InvestInvent AG
Inwind Sp LTD
Israel Infrastructure Fund
Italgen
ITC LTD
ITER
IVICOM Energy
IVPC Group
IWB Industrielle Werke Basel AG
IWC Bulgaria 4
Jamtkraft AB
Jasper Energy Hellas
Jealsa
JH Energy APS
JJB Vind APS
JK Energy
JLEN Environmental Assets Group
JMA Energies
Joannou & Paraskevaides LTD
John Laing Group PLC
JP Elektroprivreda BiH
JP Energie Environnement
JPEE
JSC Energogrupe
JSC VetroOGK
JSC VetroOGK-2
Jura Energy
Juwi GmbH
JWP Jade Windpark GMBH
Jysk Energi
Jysk Vindenergi APS
K Kepouros Wind SA
K Sarras & CO LLC
K/S Hydrovind
K&S Regenerative Energie GMBH & CO KG
Kallista Energy
Kallista Energy Investment
Kamen-Dent DOO
Kansai Electric Power Co
KELAG
Keller
Keppel CORP
Keppel Infrastructure Trust (KIT)
Kermas Group
KEVAG Telekom GMBH
KfW Ipex-Bank
KGAL Group
KI-KELAG International GMBH
Kikkenborg Vindkraft I/S
Kilrush Energy LTD
Kirkbi Invest AS
KKR Co Inc
KL Energy
Klein-Piershil BV
Kleinkraftwerk Birseck AG
Klingele Windkraft
KLP
Kluutmolen VOF
KNK Ocean Breeze GMBH
KNK Wind GMBH
KommunalWind GMBH & CO KG
Kon_ar Group
Koninklijke Philips NV (PHILIPS)
Korea Investments & Securities CO LTD
Korea South-East Power Co Ltd
Kotkan Energia OY
Krogstrup Enge IV KS
Krogstrup Vindkraft IS
Krug Energie
Krym-Eol LTD
KumBro Vind AB
Kvernevik Engineering AS
Kyon LLC
L&G NTR
La Compagnie du Vent
La Garenne Sas
La Lande wind power
Lager Group
Lanber Holdings
Landvolk Diepholz
Landwind Group
