Enova International INC
ScottishPower Renewables
WPD
Cooperatie Zeeuwind; Delta NV; Zeeland Seaports; ZMF; Verbrugge International BV; Heerema Group
Orsted ; Credit Agricole Assurances ; AXA
Orsted ; Octopus ; GLIL Infrastructure ; Global Infrastructure Partners
Vargronn AS ; Scottish and Southern Energy (SSE) ; Equinor ASA
Eesti Energia AS
Eesti Energia AS
Eesti Energia AS
RWE
Fred Olsen Renewables AB
TronderEnergi Kraft AS
Fred Olsen Renewables AB
Orsted; Copenhagen Infrastructure Partners
Renantis UK Ltd
TotalEnergies ; Scottish and Southern Energy (SSE)
Lyse Produksjon AS
Oceanwind AS
JK Energy
Electric Power Development CO LTD (J-POWER) ; Kansai Electric Power Co ; RWE AG
Green Investment Group (GIG) ; ScottishPower Renewables
Vattenfall AB
Metsahallitus
Havgul Nordic AS
Troms Kraft Produksjon AS
Shell PLC; Eneco
Statkraft AS
Lofotkraft Vind
Wind Estate A/S
ScottishPower Renewables
La Compagnie du Vent
Baltic Blue Energy OU
Scottish and Southern Energy (SSE)
Norsk Vind AS
Orsted ; PFA Pension ; PKA
Green Investment Group (GIG); General Electric Co
Sakel Technike LLC
OW Ocean Winds
OW Ocean Winds
Vattenfall AB
TotalEnergies; Simply Blue Energy LTD
Iberdrola
ALH Group; Siemens; Northland Power INC; HVC NV
Offshore Vindenergi AS
Renewables Infrastructure Group LTD (TRIG) ; Scottish and Southern Energy (SSE) ; Red Rock Power LTD ; Equitix LTD
WPD
Equitix LTD; RWE AG ; Green Investment Group (GIG); Stadtwerke Munchen GmbH
Fred Olsen Renewables AB
Wind Estate A/S
Krym-Eol LTD
City Electric Single Member Energy SA
WPD; Orsted; EDF
Enbridge Inc; EnBW
Iberdrola
Eoliennes
Sunly Energy
Rokas Renewables
Nero Renewables
EDF
Fred Olsen Renewables AB
WPD
Gulf Energy Development PCL ; Orsted ; Keppel Infrastructure Trust (KIT) ; Keppel CORP
Energetyka Polska
Blue H Technologies BV
Baltic Blue Energy OU
Vattenfall AB
Equinor ASA; Masdar; China Resources (Holdings) CO LTD
E.ON
ReWind Offshore AB
Orsted; B9; Renewable Energy Systems (RES)
Orsted ; PKA ; Pension Danmark
Norsk Miljokraft AS
Aquila Capital
Blue H Technologies BV
ScottishPower Renewables
BASF SE; Vattenfall AB ; Allianz SE
BASF SE; Vattenfall AB ; Allianz SE
E.ON
Orsted
RWE AG
RWE AG
INPEX Corp; Octopus ; Royal Van Oord ; Diamond Generating ; Luxcara GMBH; Eneco ; Royal Dutch Shell PLC  ; Nuveen Infrastructure
Tuuletraal OU
Neugrund OU
PROKON; Neoen
Statskog SF
Norges Bank Investment Management; Orsted
Norges Bank Investment Management; Orsted
Enlight Renewable Energy; Prime Capital AG
Eneco ; Elico
INPEX Corp; Octopus ; Royal Van Oord ; Diamond Generating ; Luxcara GMBH; Eneco ; Royal Dutch Shell PLC  ; Nuveen Infrastructure
Energias Renovables Mediterraneas SA
Vestas; Vattenfall AB; AIP Management P/S
RWE AG ; Siemens ; Equitix LTD ; Sumitomo Corp ; ESB Group
Minoika Thalassia Wind Park SA
BASF SE; Vattenfall AB ; Allianz SE
Iberdrola ; Energy Infrastructure Partners (EIP)
Baltic Blue Energy OU
Wind Alliance Group
Scottish and Southern Energy (SSE)
NUON
Havgul Nordic AS
Havgul Nordic AS
Varanger Kraft AS
Orsted
RWE AG
Vattenfall AB
RWE AG
Orsted ; Glennmont Partners ; Renewables Infrastructure Group LTD (TRIG)
Enlight Renewable Energy
Evelop UK LTD
European Energy A/S
Niata Wind SA
Equitix LTD ; Vattenfall AB
INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp
INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp
INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp
Orsted ; William Demant Invest A/S ; Kirkbi Invest AS
Nord-Norsk Vindkraft AS
Greta Energy
Aspiravi ; Socofe SA ; Rent-A-Port Green Energy NV ; Electrawinds Offshore ; Power@Sea ; DEME Group ; Z-Kratch ; SRIW Environment
E.ON ; Credit Suisse Energy Infrastructure Partners (CSEIP)
Fred Olsen Renewables AB
RWE AG
A.S.R. Real Estate; Vattenfall AB
Kyon LLC
TotalEnergies; Simply Blue Energy LTD
Bluefloat Energy; SENER
Finnmark Kraft AS
Community Windpower
Arise AB; Foresight Group
Blaberg Wind Power AS
Vattenfall AB
ProWind GMBH
Vattenfall AB
Havgul Nordic AS
Lyse Produksjon AS
Statkraft AS
Statkraft AS
Goldwind
Vasa Vind
TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA
Vattenfall AB
Statkraft AS
Greencoat ; Octopus Group Ltd ; Marguerite Fund
EnBW; Macquarie Capital
Stadtwerke Munchen GmbH ; Vattenfall AB
Orsted
Orsted
Ardian
Westermeerwind; NOP Agrowind; RWE AG
RWE
Wind Estate A/S
Green Star
NUON
