Company Name,Occurrences
John Laing Group PLC,4
Amazon,4
Munich RE AG,4
Green Repower,4
Samaras,4
DIF Capital Partners,4
Generg,4
Commerz Real AG,4
NEK Umwelttechnik AG,4
Breeze Energy,4
Nordex,4
Renovalia Energy Group,4
Enerco,4
Helia Renovables,4
European Wind Farms Greece LLC,4
ICQ Holding SPA,4
Solvind Prosjekt AS,4
Energaas Renovables del Bierzo (ERBI),4
Alfanar Group,4
GE Power,4
Windunie,4
Epharmoyes Pyritium SA,4
GRSRE Wind Project Single Member SA,4
Eolica de Navarra SL,4
National Energy Holdings,4
Thuga Erneuerbare Energien GMBH & CO KG,4
Brookfield Renewable Partners LP,4
ENEOP,4
GEG ENeR,4
Okoenergie Beteiligungs GMBH,4
EFI Wind GMBH,4
Enerfrance,4
WKN GmbH,4
E&S Group,4
Talanx Group,4
EcoJoule Energy,4
Enova International INC,3
Cooperatie Zeeuwind,3
Eesti Energia AS,3
Shell PLC,3
Lofotkraft Vind,3
Red Rock Power LTD,3
Norsk Miljokraft AS,3
BASF SE,3
Nuveen Infrastructure,3
Vestas,3
Varanger Kraft AS,3
Mitsubishi UFJ Lease & Finance Co Ltd,3
China Three Gorges Corp,3
Kyon LLC,3
Octopus Group Ltd,3
Continental Wind Partners,3
Parkwind NV,3
Ulvig Kiaer AS,3
C-Power,3
AES Corp,3
BEC Energie Consult GMBH,3
Monsson,3
Mitsubishi Corporation Energy Solutions LTD,3
Holmen Group,3
Jamtkraft AB,3
Kamen-Dent DOO,3
Guris,3
EWE,3
Velocita Energies,3
Inter IKEA Group,3
Landwind Group,3
EnerCap,3
BKW AG AG,3
Taaleri SolarWind II fund,3
Atsinaujinan_ios Energetikos Investicijos,3
Rosatom State Nuclear Energy CORP (ROSATOM),3
Edison SpA,3
MK Fintel Wind,3
Vindin AB,3
Airenergy PVT CO,3
RIVE Private Investment,3
MET Group,3
Norsk Vindpro AS,3
Utilitas,3
CE Energy Holding AG,3
Tekniska Verken,3
ENEA,3
Energie Versorgung Niederosterreich AG,3
Eolia Renovables de Inversiones SCR SA,3
NV Wind aan de Stroom,3
Athena Investments,3
Lisby Windpower APS,3
Forestalia SL,3
Calyce,3
Eunice Energy Group,3
ASR Wind SL,3
Dalekovod DD,3
GR Wind,3
Spithas Solar Systems LLC,3
Thessalias Renewable,3
Greenchoice,3
Connected Infrastructure Capital (CIC),3
Columbia Threadneedle,3
VolkerWind,3
Windkraft Schonach GMBH,3
BVT Group,3
Hana Financial Investment CO LTD,3
Korea Investments & Securities CO LTD,3
Yard Energy Group BV,3
Sabowind GMBH,3
Brial Group,3
Evia Wind Energy SA,3
Eno Energy,3
Vleemo NV,3
GK Energi APS,3
STEAG GmbH,3
KELAG,3
Aren Electric Power SPA,3
Terravent Deutschland GMBH,3
Ventotec GMBH,3
Renalfa IPP,3
Energy Farming PVT LTD,3
Fabbrica Energie Rinnovabili Alternative (FERA) SRL,3
Eole-Res SA,3
Eco Optima LTD,3
IdEI SA,3
Villar Mir Energia (VME) SLU,3
Energi Fyn,3
Vortex Energy (formerly Sun Edison),3
AGSM Group,3
Engasa Eolica SA,3
Q-Energy Group,3
VOSS Energy GMBH,3
Arkolia Energies,3
EcoPower,3
Whirlwind Renewables LLP,3
Vensolair,3
ITER,3
Storm,3
Wallenstam Energi AB,3
Epuron,3
Erneuerbare Energien,3
IFE Eriksen AG,3
Voltalia SA,3
3D Energies,3
Umea Energi AB,3
Ministry of the Environment and Spatial Planning,3
Delta NV,2
PFA Pension,2
PKA,2
Sakel Technike LLC,2
OW Ocean Winds,2
Simply Blue Energy LTD,2
Northland Power INC,2
Offshore Vindenergi AS,2
Krym-Eol LTD,2
Enbridge Inc,2
Blue H Technologies BV,2
Royal Van Oord,2
Royal Dutch Shell PLC,2
Norges Bank Investment Management,2
AIP Management P/S,2
Evelop UK LTD,2
Greta Energy,2
Credit Suisse Energy Infrastructure Partners (CSEIP),2
Foresight Group,2
Marguerite Fund,2
Ardian,2
Green Star,2
Helen Oy,2
SEAS-NVE Energy Group,2
Eviny,2
Arzteversorgung Westfalen-Lippe,2
Community Owned,2
Long Man Wind Energy,2
Aurora Vindkraft AS,2
Meewind,2
50Hertz Offshore GMBH,2
CapMan Infra,2
VPBC Vetar,2
East Renewable Energy AB,2
Principle Power Inc,2
NRGi,2
Greentech CORP,2
Gudbrandsdal Energi,2
Eidsiva Energi,2
Akershus Energi,2
KLP,2
Chetverty vetropark FRV,2
OOO Vtoroi Vetropark FRV,2
EIG Global Energy Partners,2
Centrica PLC,2
Saras Group SPA,2
Malta Resources Authority,2
Ignitis Grupe AB,2
En Avel Braz,2
Wind Power Generation Company,2
Bjerkreim Vind AS,2
Norsk Hydro ASA,2
Smart Windpower Oy,2
Reichmuth Infrastruktur II KMGK,2
SFE Produksjon AS,2
Loger,2
Mjos og Kollsnes Vindpark AS,2
Vauban Infrastructure Partners,2
FuGen,2
NovaWind,2
SC Lalomita Power SRL,2
Cernavoda Power SRL,2
Vindkraft Ukraina LLC,2
Community Owner - City of Bedburg,2
Wind of Ipirus Energy SA,2
Energreen,2
Pure Energie,2
Elementum Energy LTD,2
Austri Kjolberget DA,2
Cube Infrastructure Managers,2
JP Elektroprivreda BiH,2
QAir Group,2
CJR Renewables,2
OOO Sedmoi Vetropark FRV,2
Desarrollos Eolicos Cuenca de Barbera SL,2
Fina Eolia,2
Eolica la Conca,2
Enerfin Sociedad de Energia SL,2
SC Verbund,2
VisaVento Holding AG,2
Grupa Eko Park,2
Eyra,2
Aneo,2
Local Energy A/S,2
Energi Danmark Vind AS,2
Pindos Energy SA,2
Professio Energia dd,2
Allianz,2
Mytilineos Holdings SA,2
Statkraft UK LTD,2
WindLandKraft GMBH,2
Enercoplan Investments SA,2
Crescent Capital Group LP,2
Lewandpol Group,2
Wallenborn Bora GMBH,2
SUSI Renewable Energy Fund,2
Windkraft Tavria LLC,2
Eurotrust,2
VR Energieprojekte Wildeshauser Geest GmbH,2
RheinEnergie AG,2
Adelanta Group,2
BelEnergia SA,2
W E Graigos New Energies SA,2
Community Owned - Bedbrug,2
KKR Co Inc,2
Taalerii SolarWind II,2
Union Investment,2
SL NaturEnergie GMBH,2
ABN AMRO,2
Grupo Ortiz,2
SGECR SA,2
ES Rodopes,2
Cubico Sustainable Investments,2
Eviva Nalbant,2
UAB Renerga,2
VOL-V SAS,2
Pacifico Renewables Yield AG,2
Optima Wind,2
MDP,2
Vent du Nord,2
Galetech,2
Flevo Ventum BV,2
Promill BV,2
Cooperatie Deltawind,2
Voursana Energy SA,2
Desol Energy,2
Petrol Group,2
Infracapital,2
Spanish Power SL,2
Intervent,2
PJSC Wind Park Ochakovskiy,2
Gerrsa,2
swb AG,2
Naturwind,2
ERBI Energia,2
Evrytanias Single Member LLC,2
Rajakiiri OY,2
Viotia Aiolos LLC,2
Valeco,2
AM Energie Rinnovabili,2
Jysk Energi,2
CGN Europe Energy (CGN EE),2
Triventus AB,2
oekostrom,2
Chorterou Single Member SA,2
Escofi,2
Global Wind Power,2
ASJA Ambiente Italia,2
Evangelische Bank eG,2
ALTEO Group,2
EEF SAS,2
PAP Energy SA,2
Windflower,2
Aioliki Beleheri SA,2
Quest Wind LLC,2
E.DIS AG,2
BP PLC,2
Partnerships for Renewables LTD (PFR),2
TBS Energy CORP,2
Glockenstadt Energiegenossenschaft eG,2
Gescher Burgerwind GMBH & CO KG,2
Best Energy,2
Momentum Infra 1 GmbH,2
Winergy Orla Wind LTD,2
Eurwatt SC,2
GUP RK Krymenergo,2
CNI Energy SA,2
Vector Wind Desphinas SA,2
Terpsichore Energy PVT CO,2
Zephyr ENR,2
Axpo Holding AG,2
Aspre Petra SA,2
Grupo Ecoener SA,2
Aventron AG,2
Zweite Bokingharder Windpark GMBH & CO KG,2
Enern,2
Ostergaard Vindkraft,2
PPC Renewables SA (PPCR),2
JMA Energies,2
K/S Hydrovind,2
Raiffeisenwindpark Emsland-Mitte Verwaltungs und Beteiligungs GMBH,2
Renner Energies,2
DP Energy,2
Si_ownie Wiatrowe SA,2
Taff Prime Develop SA,2
InterPhoton,2
Dobreve Energia SA,2
Envitec SA,2
ACOFI,2
Ulrik Linden,2
GEK TERNA Holdings,2
Real Estate,2
Construction SA,2
Private Investor - Lars Kronshage,2
Hans Henrik Hensberg,2
EKO,2
Fersa Group,2
Energieanlagen FB,2
Energia Verde,2
Gaia INC,2
IEL Energie,2
Chorus Clean Energy AG,2
Futura,2
UEM (formerly Metz Electricity Factory),2
Aalto Power,2
Green Swell SL,2
deanGruppe,2
Quaero Capital,2
Stadtische Werke AG,2
Saorgus Energy LTD,2
STAWAG Energie GMBH,2
SERGIES,2
Wind 1 AS,2
Trianel Erneuerbare Energien,2
WSB Group,2
Pfalzwind GMBH,2
Jura Energy,2
Naturstrom,2
Dala Vind AB,2
E-Connection,2
KI-KELAG International GMBH,2
Heineken NV,2
Cabildo Insular,2
ITC LTD,2
Varberg Energi AB,2
Sicap,2
Syndicat Departemental d'Energie et d'equipement de la Vendee (SYDEV),2
Windenergie Neuruppin GMBH,2
Vento Wind SA,2
Fintel Energija,2
ASKO Fornybar AS,2
ElectriCom LLC,2
Sorgente BV,2
Zeeland Seaports,1
ZMF,1
Verbrugge International BV,1
Heerema Group,1
Credit Agricole Assurances,1
Global Infrastructure Partners,1
Vargronn AS,1
Oceanwind AS,1
JK Energy,1
Electric Power Development CO LTD (J-POWER),1
Metsahallitus,1
General Electric Co,1
ALH Group,1
HVC NV,1
City Electric Single Member Energy SA,1
Eoliennes,1
Nero Renewables,1
Gulf Energy Development PCL,1
Keppel Infrastructure Trust (KIT),1
Keppel CORP,1
Energetyka Polska,1
China Resources (Holdings) CO LTD,1
ReWind Offshore AB,1
B9,1
Pension Danmark,1
Tuuletraal OU,1
Neugrund OU,1
Elico,1
Energias Renovables Mediterraneas SA,1
Minoika Thalassia Wind Park SA,1
Wind Alliance Group,1
William Demant Invest A/S,1
Kirkbi Invest AS,1
Socofe SA,1
Rent-A-Port Green Energy NV,1
Electrawinds Offshore,1
Power@Sea,1
DEME Group,1
Z-Kratch,1
SRIW Environment,1
Bluefloat Energy,1
SENER,1
Blaberg Wind Power AS,1
Goldwind,1
Westermeerwind,1
NOP Agrowind,1
Pleiades New Energy Ventures (PLEIADES SA),1
Svea Vind Offshore AB,1
KNK Wind GMBH,1
KNK Ocean Breeze GMBH,1
German Pension Funds,1
Windreich AG,1
New Energy of Ukraine Alliance,1
Schroders PLC,1
DeWind CO,1
Energinet,1
KL Energy,1
Fitjar Kraftlag SA,1
Siragrunnen AS,1
Speranta & Succesul SA,1
Baltic Wind Park,1
Grenselandet AS,1
Sarepta Energi AS,1
TREVI Energy SPA,1
WBA Energy,1
DIV Wind,1
Energi E2 AS,1
Vindkraft Kalanchak LLC,1
Hellenic Technodomiki Wind SA,1
Abei Energy,1
SRS Bulgaria EOOD,1
Windfarm Holding,1
Winvest,1
Norinco International CORP LTD,1
Argos Aiolos Single Member SA,1
Windpark Dobrudzha DOO,1
Dei Energy,1
Spanish Capital Group Uriel,1
Innovative Wind Concepts (IWC) Bulgaria VP 5,1
Mediterranean Wind Offshore SRL,1
Lundin Energy,1
Sval Energi AS,1
Persson Invest AB,1
Lager Group,1
Greenworx,1
HybridTech Renewables AS,1
Hovatn Aust Vindkraft AS,1
Haugaland Kraft,1
Elektro Primorska,1
Ostjysk Energi,1
Vindmollelaug Arhus Bugt (VAB),1
Viby Elvaerk,1
Brabrand Elselskab,1
Galten Elvaerk,1
W Power LTD,1
Cannon Power Group,1
Rabobank,1
EKF Denmark,1
Dexia Group,1
Gothaer Leben Renewables GMBH,1
Alpha Grissin SA,1
Preneal Internacional SA,1
Ventelys,1
Austri Kvitvola DA,1
Hidroelectrica,1
TG Energie Rinnovabili SRL,1
IVICOM Energy,1
Azora Capital,1
Delta Wind,1
Bondcom Green Energy,1
Hafslund Eco,1
The Concorde Group LLC,1
Korea South-East Power Co Ltd,1
European Bank for Reconstruction and Development (EBRD),1
Samsung Heavy Industries CO LTD (SHI),1
Macedonian government,1
NVision Energy,1
Ecosource Energy,1
OOO Treti Vetropark FRV,1
Longwing Ukraine LTD,1
Synergics Energy Development,1
Vent 1 Capo Rizzuto S.R.L.,1
Alandsbanken,1
YIT Rakennus OY,1
Renovatio Power SRL,1
Green Bear Corporation,1
Orron Energy AB,1
Anaptexe Epeirou Wind Single Member PVT CO,1
KfW Ipex-Bank,1
Skandinaviska Enskilda Banken Helsinki Branch AB,1
SCA Energy AB,1
Public Power Corporation SA,1
GEO Renewables,1
TINC,1
Gaberia International,1
Joannou & Paraskevaides LTD,1
Winvast BV,1
Skanska AB,1
Energia Eolica Gregal SL,1
Tolpanvaara Wind Farm OY,1
Longyuan Power Overseas Investment CO LTD,1
Hero Asia Investment LTD,1
Summa,1
GK Gruppen ApS,1
Stemma Group,1
Tohkojan Tuulipuisto OY,1
Mollelauget Norhede-Hjortmose Vindkraft I/S,1
AURA Energi,1
Adlergrund 500 GMBH,1
Rapsoil SIA,1
Bois Elie SASAU,1
Pajurio Jegaines,1
Boreads Wind Single Member PVT CO,1
Moldova Eolian,1
Vat Portugal,1
Vision Group Balcan,1
Polskiej Si_y Wiatru,1
Zensur Zrmanja,1
Loscon GMBH,1
mea Energieagentur Mecklenburg-Vorpommern GmbH,1
Municipality of Hoort,1
Hrvatska elektroprivreda dd,1
Zweite Invest-Wind Waldrach GMBH & CO KG,1
Gkoura Wind Energy SA,1
Community Owners - Waddenwind,1
C&C Energy,1
Hexicon AB,1
Sorgenia France,1
Nord-Trondelag Elektrisitetsverk (NTE),1
IWC Bulgaria 4,1
Cierco,1
Venture Equity Bulgaria PVT,1
Pro EcoEnergia LTD,1
Elektroprivreda Hrvatske Zajednice Herceg Bosne (Elektroprivreda HZHB),1
Falkon Caital,1
Kermas Group,1
Omega,1
EOL PRVI DOO,1
Waterschap Zuiderzeeland,1
Windshare Groen BV,1
Energias Renovables de Dione SL,1
Energias Renovables de Lisitea SL,1
Estudios y Proyectos Pradamap SL,1
OOO Pervy Vetropark FRV,1
TGC-1,1
Windpark Ovelgonne Betriebs GMBH & CO KG,1
Kotkan Energia OY,1
TLG DOO,1
Mireasa Energies,1
SC Alizeu Eolian SA,1
Compagnia Finanziaria De Benedetti SPA (Cofide),1
Ecotecnica,1
Grupo Lamelas Viloria,1
Windpower Hungaria KFT,1
Pilot Offshore Renewables LTD (PORL),1
Eolica Alta Anoia SL,1
IGEwind Renewable SL,1
SachsenFonds,1
Aviva Investors,1
Elektroprivreda Bosne i Hercegovine (EPBiH),1
IEL OIE Balkan Renewable Energy,1
OM O2,1
Mitsui & Co Ltd,1
Braila Winds SRL,1
Regional Partner,1
Anemodomike Energy SA,1
Malta Montenegro Wind Power JV LTD,1
Mill Energy,1
AG Capital Single Member PVT CO,1
Energy Kentro Renewable Energy Sources of the Cyclades SA,1
Omv Petrom Wind Power,1
GCS,1
EETEK Hungary Energy Efficiency Technology RT,1
AB Hallebacks Gard,1
Windpark Norderland GMBH & CO KG,1
International Car Operators (ICO),1
Postak DOO,1
Banco Sabadell,1
Windspur Energy SA,1
Teforto Holdings LTD,1
Vuaban Infrastructure Partners,1
Aquila Capital Concepts,1
Pounentes Energy SA,1
Gepem Wind Energy,1
Windpark Gooyum-Houw,1
Burcote Wind,1
Writgen Invest Holding GMBH,1
Osterreichische Bundesforste AG,1
Achema Group,1
Finshus AS,1
Hel-Teknikk Inveset AS,1
LANEID AS,1
ecoenerg Windkraft GMBH & CO KG,1
Nisida ER SRL,1
Lanber Holdings,1
Efacec Group,1
Energoconsult LTD,1
Vind AX AB,1
iNeG IngenieurNetzwerk Energie,1
Pricon Business Creation DOO,1
Norgaard Vind I/S,1
Schmidt Holding Group INC,1
Hvashoj Vindkraft IS,1
Skraeddergaard Vindkraft I/S,1
Bundgard Hede IS,1
Voltwerk Electronics GMBH,1
Copenhagen Energy A/S,1
Middelgrunden Wind Turbine Cooperative,1
Bluermound & CO LTD,1
Visima Vendavel SA,1
Quercus Real ASsets,1
Energie Steiermark AG,1
Alterric GMBH,1
Stadtwerke Heidenheim AG,1
DSM,1
AkzoNobel Speciality Chemicals,1
Google,1
Koninklijke Philips NV (PHILIPS),1
VINCI,1
Elektrani na Severna Makedonija (ESM),1
GERES,1
BNB Kompani,1
Green for Growth Fund (GGF),1
FL Wind,1
Enercoop,1
Martifer Group,1
Initiatives & Energies Locales (IEL) SAS,1
Skandia INC,1
Energiegenossenschaft Main Kinzigtal eG,1
Energicenter Nord APS,1
Comiolica SL,1
Forward Energo PAO,1
Bord Gais Energy Ltd,1
Toplet Energy,1
Blue Investment Partners,1
Mitsubishi Heavy Industries (MHI),1
Vendavel Energy SA,1
Ulli Rowind SRL,1
EcoEnergia,1
Lem Kaer Vindkraft I/S,1
Neue GHF Bliesdorf-Ketzin GMBH,1
ES Evrou,1
Smart Energy Betriebs GMBH,1
SudWestStrom Windpark Suckow GMBH & CO KG,1
Provata Traianoupoleos Wind LLC,1
Anemodrase Single Member SA,1
Fritz Dotterweich LLC,1
Eolica Kog_lniceanu,1
Windkoepel Groen,1
Air Energy,1
HSE Regenerativ GMBH,1
Wind Park Stanata,1
Energieversorgung Offenbach AG,1
Bourtzi Single Member PVT CO,1
Community Owned - Windpark Zeewolde BV,1
Deutsche Wind SA,1
Low Carbon Investment Management LTD,1
FuturEnergy Ireland,1
Private Individual - Georg Kury,1
Patrick Bubna-Litic,1
Stadtgemeinde Kindberg,1
Leobener Realgemeinschaft,1
Hainzl GMBH,1
Beleolico SRL,1
RhonEnergie Erneuerbare GMBH,1
Saarenkyla Tuulipuisto OY,1
Suomen Tuulivoima OY,1
MK Group,1
Prime Super PTY LTD,1
Elecdey SL,1
Inter RAO PJSC,1
Energy Trading SA,1
Compania Espanola de Petroleos SA,1
DGE Wind GMBH,1
Egnatia Wind Energy SA,1
Private Investor - Michales Kouyioumtes,1
Eole Generation SAS,1
Nissum Brednings Vindmollelaug I/S,1
SC Sibioara Wind Farm SRL,1
Altus Group,1
B Capital Partners AG,1
Huadian Fuxin Energy CORP LTD,1
Behy Renewable Energy LTD,1
FP Lux Wind GMBH & CO Primus KG,1
Toto Holding SPA,1
Asselner Windkraft GMBH & CO KG,1
H & N Burgerwind GMBH,1
Elana Holding,1
Innopower,1
Parthenio Wind Park SA,1
NAEV Austria Beteiligungs GMBH,1
Klingele Windkraft,1
WP Energy PCL,1
Valoriza Energia,1
WEA Windenergie-Agentur GmbH,1
AgRo-Energieagentur GMBH,1
WRE Hellas SA,1
Megavouni Wind Park SA,1
Sagias Wind Park SA,1
Enerfarm SA,1
Effo,1
Rokt,1
WIRTGEN Invest Holding GMBH,1
Municipality of Moerdijk,1
Ahaus-Heek-Legden eG,1
OOO VETRYANOI PARK KERCHENSKI,1
Private Owner - Sergei Moskovsky,1
SC Romconstruct Top SRL,1
Windpark GMBH & CO Weserbrise KG,1
Dalane Vind AS,1
Quenea,1
GP Joule,1
Windpark Neuratjensdorf-Rossee GMBH & CO KG,1
Windvision,1
WWU Wind,1
SurveyCom BV,1
XL Wind BV De Wilde Wind Holding BV,1
Impax Asset Management Group PLC,1
TD Greystone Infrastructure Fund,1
Nelja Energia (4Energia),1
Bindesbol Vindkraft IS,1
Ferazzoli SPA,1
Erelia,1
Energy CORP Hungary KFT,1
EPZ NV,1
PK Energy LLC,1
Androu Tsirovlidi Wind SA,1
Goteborg Energi,1
MVM Zold Generacio KFT,1
Chevron Corp,1
PW34 Sarl (PW34),1
Earth Energy SA,1
Divres Wind Single Member PVT CO,1
Motor Oil Ellas,1
Lommel wind (d)t,1
WP Energiek BV,1
Blue Pearl III GMBH,1
Renewable Energy Infrastructure Fund,1
Wind parks of Ukraine LLC,1
Goodyields Capital,1
Access Capital Partners,1
GEP,1
Honkajoen Tuulipuisto,1
KommunalWind GMBH & CO KG,1
MEAG MUNICH ERGO Asset Management GMBH,1
Peel Energie,1
Green Trust,1
Aelmans Adviesgroep BV,1
Klein-Piershil BV,1
Community Owners - Vintevd Vindkraft I/S,1
Westfalische Kunststoff Technik GmbH (WKT),1
HSE Invest DOO,1
Windpark Ingenieurbau GMBH,1
Winergy SIA,1
Zanniere Eolienne,1
Bogaris Energy,1
Samso Municipality,1
OekoStroum Weiler SA,1
Railpen,1
Instituto de Energias Renovables SL,1
Alas Capital SA,1
SPC 2-Mustaisneva OY,1
Private Investor - Jorgen Holm Westergaard,1
Ostrup Vindmollelaug I/S,1
Eskilstuna Vindkraft AB,1
Finja Energi AB,1
Ente Vasco De La Energia (EVE),1
Green Energy 3000,1
Community Owners - Volder Mark Vindkraft I/S,1
Ronn-Sonder I/S,1
JH Energy APS,1
Interstate Renewable Energy Council (IREC),1
JSC Energogrupe,1
Jealsa,1
Virandel SL,1
Vindmyran AS,1
Generacion Eolica,1
Kluutmolen VOF,1
Reolum,1
STERNWIND Errichtungs und Betriebs GMBH & CO KG,1
Renerco AG,1
WATT Renewables,1
India Energy Storage Alliance (IESA),1
ACEA Group,1
Ecoener,1
Grupo Lopesan,1
Winda Energy OY,1
Arena Energy,1
Bakkegaarden Wind Energy Greece LLC,1
Ensol Amedaiou SA,1
Thalia Energy,1
SIVENTIS Windprojekte GMBH,1
Inversiones Financieras Isla de Tenerife SL,1
Windpool Sinningen GMBH & CO KG,1
JJB Vind APS,1
E-Werk Mittelbaden AG & CO KG,1
Windenergie Schwiegershausen,1
