Agency,Rating,Outlook,Date
DBRS,AAA,Stable,Jul 14 2011
S&P,AAA,Stable,Jun 26 1989
S&P,AAA,N/A,Oct 01 1988
Moody's,Aaa,Stable,Jan 20 1982
