Entry ID,Latitude,Longitude
5665,56.3353,16.2852
5688,57.4375,10.5707
5715,59.0899,5.406
5728,59.1962,5.0959
5734,58.3937,11.1646
5870,43.326,4.907
5928,54.82,14.12
5950,59.0611,5.5932
5978,62.1436,5.0784
5981,59.0913,5.3849
5982,59.0774,5.5985
6139,56.1667,15.9991
